"name" "id" "judgmentDate" "year"
"275" "Rafał Maciejewski" 37546 "2014-02-26" 2014
"276" "Tomasz Bajer" 37547 "2014-02-14" 2014
"277" "Jacek Kępa" 37730 "2014-02-11" 2014
"278" "Krzysztof Turbiński" 37730 "2014-02-11" 2014
"279" "Wojciech Borten" 37730 "2014-02-11" 2014
"280" NA 37731 "2014-02-25" 2014
"281" NA 37732 "2014-02-18" 2014
"282" "Bogdan Jachowicz" 37733 "2014-02-04" 2014
"283" "Bożena Rządzińska" 37733 "2014-02-04" 2014
"284" "Izabela Wawrzynkiewicz" 37733 "2014-02-04" 2014
"285" NA 37750 "2014-02-24" 2014
"286" "Barbara Pięcek" 37751 "2014-02-04" 2014
"287" "Bożena Rządzińska" 37751 "2014-02-04" 2014
"288" "Joanna Szczygielska" 37751 "2014-02-04" 2014
"289" "Jacek Przybysz" 37864 "2014-02-24" 2014
"290" "Krystyna Pisarska" 37864 "2014-02-24" 2014
"291" "Zbigniew Mierzejewski" 37864 "2014-02-24" 2014
"292" NA 37865 "2014-02-26" 2014
"293" NA 37866 "2014-03-05" 2014
"294" "Andrzej Rembowski" 37867 "2014-02-20" 2014
"295" "Jarosław Bolek" 37867 "2014-02-20" 2014
"296" "Sławomir Lerman" 37867 "2014-02-20" 2014
"297" NA 37868 "2014-03-03" 2014
"298" "Jacek Popczyk" 37869 "2014-02-20" 2014
"299" "Krystyna Pisarska" 37869 "2014-02-20" 2014
"300" "Zbigniew Mierzejewski" 37869 "2014-02-20" 2014
"301" NA 37870 "2014-03-06" 2014
"302" "Jacek Popczyk" 37871 "2014-02-20" 2014
"303" "Krystyna Pisarska" 37871 "2014-02-20" 2014
"304" "Zbigniew Mierzejewski" 37871 "2014-02-20" 2014
"305" NA 37872 "2014-03-03" 2014
"306" "Krystyna Pisarska" 37873 "2014-02-06" 2014
"307" "Piotr Cięciwa" 37873 "2014-02-06" 2014
"308" "Wojciech Cerski" 37873 "2014-02-06" 2014
"309" "Andrzej Rembowski" 37874 "2014-03-05" 2014
"310" "Krystyna Pisarska" 37874 "2014-03-05" 2014
"311" "Wojciech Cerski" 37874 "2014-03-05" 2014
"312" "Anna Rodak" 37911 "2014-02-25" 2014
"313" "Monika Pawłowska-Radzimierska" 37911 "2014-02-25" 2014
"314" "Sędziowie" 37912 "2014-03-07" 2014
"315" "Sędziowie" 37913 "2014-03-06" 2014
"316" "Anna Rodak" 37914 "2014-01-28" 2014
"317" "Paweł Wojas" 37914 "2014-01-28" 2014
"318" NA 37915 "2014-03-11" 2014
"319" "Anna Rodak" 37916 "2014-02-25" 2014
"320" "Monika Pawłowska-Radzimierska" 37916 "2014-02-25" 2014
"321" "Anna Rodak" 37917 "2014-02-25" 2014
"322" "Monika Pawłowska-Radzimierska" 37917 "2014-02-25" 2014
"323" "Sędziowie" 37918 "2014-03-10" 2014
"324" "Sędziowie" 37919 "2014-02-28" 2014
"325" "Anna Rodak" 37920 "2014-02-27" 2014
"326" "Magdalena Lisowska" 37920 "2014-02-27" 2014
"327" "Monika Pawłowska-Radzimierska" 37920 "2014-02-27" 2014
"328" NA 37921 "2014-03-06" 2014
"329" "Karol Kotyński" 37922 "2014-02-20" 2014
"330" "Monika Pawłowska-Radzimierska" 37922 "2014-02-20" 2014
"331" NA 37923 "2014-03-11" 2014
"332" "Magdalena Lisowska" 37924 "2014-02-25" 2014
"333" "Monika Pawłowska-Radzimierska" 37924 "2014-02-25" 2014
"334" "Sędziowie" 37925 "2014-03-11" 2014
"335" "Magdalena Lisowska" 37926 "2014-02-25" 2014
"336" "Monika Pawłowska-Radzimierska" 37926 "2014-02-25" 2014
"337" "Sędziowie" 37927 "2014-03-06" 2014
"338" "Anna Rodak" 37928 "2014-02-27" 2014
"339" "Magdalena Lisowska" 37928 "2014-02-27" 2014
"340" "Monika Pawłowska-Radzimierska" 37928 "2014-02-27" 2014
"341" NA 37935 "2014-03-14" 2014
"342" "Agnieszka Olejniczak-Kosiara" 37936 "2014-02-24" 2014
"343" NA 37937 "2014-02-27" 2014
"344" "Grażyna Młynarska-Wróblewska" 37938 "2014-02-14" 2014
"345" NA 37939 "2014-02-19" 2014
"346" NA 37940 "2014-03-11" 2014
"347" NA 37941 "2014-02-18" 2014
"348" "Jacek Pasikowski" 37942 "2014-02-18" 2014
"349" NA 37943 "2014-02-27" 2014
"350" NA 38349 "2014-02-21" 2014
"351" "Krystyna Pisarska" 38350 "2014-02-10" 2014
"352" "Piotr Cięciwa" 38350 "2014-02-10" 2014
"353" "Sylwester Przygodziński" 38350 "2014-02-10" 2014
"354" NA 38351 "2014-02-12" 2014
"355" "Krystyna Pisarska" 38352 "2014-02-10" 2014
"356" "Piotr Cięciwa" 38352 "2014-02-10" 2014
"357" "Sylwester Przygodziński" 38352 "2014-02-10" 2014
"358" NA 38353 "2014-03-12" 2014
"359" "Alicja Litwicka-Cysek" 38354 "2014-02-07" 2014
